source_row	gene_id	gene_symbol	feature_type
13574	AC004920.1	AC004920.1	Gene Expression
13773	AC004921.1	AC004921.1	Gene Expression
13774	AC004921.2	AC004921.2	Gene Expression
20126	AC004923.4	AC004923.4	Gene Expression
14207	AC004930.1	AC004930.1	Gene Expression
13163	AC004936.1	AC004936.1	Gene Expression
13511	AC004938.2	AC004938.2	Gene Expression
14556	AC004941.1	AC004941.1	Gene Expression
27746	AC004943.1	AC004943.1	Gene Expression
27743	AC004943.2	AC004943.2	Gene Expression
27744	AC004943.3	AC004943.3	Gene Expression
14752	AC004944.1	AC004944.1	Gene Expression
14170	AC004946.1	AC004946.1	Gene Expression
14171	AC004946.2	AC004946.2	Gene Expression
13292	AC004947.1	AC004947.1	Gene Expression
13293	AC004947.3	AC004947.3	Gene Expression
13149	AC004948.1	AC004948.1	Gene Expression
13165	AC004949.1	AC004949.1	Gene Expression
13495	AC004951.1	AC004951.1	Gene Expression
13832	AC004969.1	AC004969.1	Gene Expression
36088	AC004973.1	AC004973.1	Gene Expression
24485	AC004974.1	AC004974.1	Gene Expression
14681	AC004975.2	AC004975.2	Gene Expression
13146	AC004982.1	AC004982.1	Gene Expression
13147	AC004982.2	AC004982.2	Gene Expression
13470	AC004988.1	AC004988.1	Gene Expression
13780	AC004990.1	AC004990.1	Gene Expression
13216	AC004994.1	AC004994.1	Gene Expression
34860	AC005005.3	AC005005.3	Gene Expression
34858	AC005005.4	AC005005.4	Gene Expression
34848	AC005006.1	AC005006.1	Gene Expression
13795	AC005008.2	AC005008.2	Gene Expression
13808	AC005009.1	AC005009.1	Gene Expression
13809	AC005009.2	AC005009.2	Gene Expression
13329	AC005013.1	AC005013.1	Gene Expression
13199	AC005014.2	AC005014.2	Gene Expression
13197	AC005014.3	AC005014.3	Gene Expression
13201	AC005014.4	AC005014.4	Gene Expression
13182	AC005019.2	AC005019.2	Gene Expression
13891	AC005021.1	AC005021.1	Gene Expression
4272	AC005034.2	AC005034.2	Gene Expression
4270	AC005034.3	AC005034.3	Gene Expression
4274	AC005034.4	AC005034.4	Gene Expression
4271	AC005034.5	AC005034.5	Gene Expression
4273	AC005034.6	AC005034.6	Gene Expression
5411	AC005037.1	AC005037.1	Gene Expression
4651	AC005040.2	AC005040.2	Gene Expression
4244	AC005041.3	AC005041.3	Gene Expression
4233	AC005041.4	AC005041.4	Gene Expression
4239	AC005041.5	AC005041.5	Gene Expression
5050	AC005042.2	AC005042.2	Gene Expression
14098	AC005046.1	AC005046.1	Gene Expression
14077	AC005050.1	AC005050.1	Gene Expression
14078	AC005050.2	AC005050.2	Gene Expression
14076	AC005050.3	AC005050.3	Gene Expression
36099	AC005052.2	AC005052.2	Gene Expression
13226	AC005062.1	AC005062.1	Gene Expression
14053	AC005064.1	AC005064.1	Gene Expression
