sample_id	completed_utc	elapsed_seconds	peak_rss_bytes	requested_threads	stage	system_cpu_seconds	user_cpu_seconds
GSM8700995		2.02732004086	1367539712		independent_verification		
GSM8700995	2026-09-06T20:42:21.024552+00:00	0.48732041684	592134144	4	qc	0.132164	0.717479
GSM8700996	2026-09-06T20:33:50.135453+00:00	0.517068375135	100614144	2	acquire	0.109835	0.780846
GSM8700996	2026-09-06T20:37:38.818835+00:00	21.8675610831	1125531648	4	convert	0.34686	22.918155
GSM8700996	2026-09-06T20:43:23.920098+00:00	3.99948241608	1073840128	4	export	0.339643	3.977217
GSM8700996		2.3855717089	1606746112		independent_verification		
GSM8700996	2026-09-06T20:42:22.134917+00:00	0.619192333193	696156160	4	qc	0.169666	0.786574
GSM8700997	2026-09-06T20:33:51.031373+00:00	0.46931054187	105971712	2	acquire	0.122717	0.753902
GSM8700997	2026-09-06T20:37:58.884299+00:00	19.3910940001	1015971840	4	convert	0.35121	20.281663
GSM8700997	2026-09-06T20:43:28.130813+00:00	3.64049224998	987693056	4	export	0.311359	3.613872
GSM8700997		2.16632004199	1459781632		independent_verification		
GSM8700997	2026-09-06T20:42:23.242006+00:00	0.574688167078	631554048	4	qc	0.167238	0.755969
GSM8700998	2026-09-06T20:33:52.073299+00:00	0.476227415958	100319232	2	acquire	0.116905	0.758143
GSM8700998	2026-09-06T20:38:45.521258+00:00	20.351669166	1038581760	4	convert	0.3871	21.195687
GSM8700998	2026-09-06T20:43:37.286957+00:00	3.76880041696	1020051456	4	export	0.320914	3.709291
GSM8700998		2.23334970791	1507065856		independent_verification		
GSM8700998	2026-09-06T20:42:25.360880+00:00	0.516940959031	647168000	4	qc	0.130891	0.744113
GSM8700999	2026-09-06T20:33:51.275134+00:00	0.559702540981	105005056	2	acquire	0.12597	0.832561
GSM8700999	2026-09-06T20:38:24.488545+00:00	24.9080517499	1162936320	4	convert	0.507628	25.608548
GSM8700999	2026-09-06T20:43:32.962985+00:00	4.28440700006	1121976320	4	export	0.359801	4.194298
GSM8700999		2.52214995911	1698758656		independent_verification		
GSM8700999	2026-09-06T20:42:24.357911+00:00	0.578570290934	730365952	4	qc	0.140956	0.821359
GSM8701000	2026-09-06T20:33:53.083254+00:00	0.471356041031	98320384	2	acquire	0.113891	0.730669
GSM8701000	2026-09-06T20:39:32.469099+00:00	19.3563377499	1020018688	4	convert	0.337013	20.276713
GSM8701000	2026-09-06T20:43:46.743177+00:00	3.5441176251	983564288	4	export	0.286889	3.576007
GSM8701000		2.06032645795	1444675584		independent_verification		
GSM8701000	2026-09-06T20:42:27.451996+00:00	0.472783583915	629686272	4	qc	0.125818	0.710062
GSM8701001	2026-09-06T20:33:52.435496+00:00	0.601714582881	101040128	2	acquire	0.115947	0.859392
GSM8701001	2026-09-06T20:39:12.419122+00:00	26.227905042	1264566272	4	convert	0.4697	27.26691
GSM8701001	2026-09-06T20:43:42.635586+00:00	4.69191229204	1229635584	4	export	0.344482	4.582683
GSM8701001		2.73158933292	1835089920		independent_verification		
GSM8701001	2026-09-06T20:42:26.487077+00:00	0.636612749891	791150592	4	qc	0.149915	0.847123
GSM8701002	2026-09-06T20:33:53.503013+00:00	0.517630542163	104431616	2	acquire	0.120093	0.755544
